company_id:id,id,name
muti_base.res_company_branch_4mratcohomeoffice,hr_department_21000002id,ACCOUNTING
muti_base.res_company_branch_4mratcohomeoffice,hr_department_21000003id,OPERATIONS
muti_base.res_company_branch_4mratcohomeoffice,hr_department_21000001id,PRODUCTION
muti_base.res_company_bu000022id,hr_department_22000001id,BUHANGIN
muti_base.res_company_bu000022id,hr_department_22000002id,CAGAYAN DE ORO
muti_base.res_company_bu000022id,hr_department_22000003id,CALINAN
muti_base.res_company_bu000022id,hr_department_22000004id,MARAMAG
muti_base.res_company_bu000022id,hr_department_22000005id,MATI
muti_base.res_company_bu000022id,hr_department_22000006id,PANABO
muti_base.res_company_bu000022id,hr_department_22000007id,TAGUM
muti_base.res_company_bu000022id,hr_department_22000008id,VALENCIA
muti_base.res_company_bu000015id,hr_department_15000001id,ARKCLICK
muti_base.res_company_bu000015id,hr_department_15000004id,DAVAO DEL SUR AREAS
muti_base.res_company_bu000015id,hr_department_15000002id,"ESPERANZA, SULTAN KUDARAT"
muti_base.res_company_bu000015id,hr_department_15000003id,OPERATIONS
muti_base.res_company_bu000018id,hr_department_18000006id,AGDAO-M
muti_base.res_company_bu000018id,hr_department_18000011id,BUHANGIN
muti_base.res_company_bu000018id,hr_department_18000012id,BUHANGIN - M
muti_base.res_company_bu000018id,hr_department_18000009id,CAGAYAN DE ORO-M
muti_base.res_company_bu000018id,hr_department_18000013id,CALINAN - M
muti_base.res_company_bu000018id,hr_department_18000001id,CALINAN-M
muti_base.res_company_bu000018id,hr_department_18000014id,DIGOS - M
muti_base.res_company_bu000018id,hr_department_18000005id,DIGOS-M
muti_base.res_company_bu000018id,hr_department_18000004id,KIDAPAWAN-M
muti_base.res_company_bu000018id,hr_department_18000015id,MARAMAG - H
muti_base.res_company_bu000018id,hr_department_18000010id,MARAMAG-H
muti_base.res_company_bu000018id,hr_department_18000003id,MATI-M
muti_base.res_company_bu000018id,hr_department_18000002id,PANABO-M
muti_base.res_company_bu000018id,hr_department_18000007id,TAGUM-M
muti_base.res_company_bu000018id,hr_department_18000008id,VALENCIA-M
muti_base.res_company_branch_20000001id,hr_department_20000002id,ACCOUNTING
muti_base.res_company_bu000020id,hr_department_20000001id,AUBERON
muti_base.res_company_branch_10000001id,hr_department_10000004id,ADMIN & FINANCE
muti_base.res_company_branch_10000001id,hr_department_10000010id,ADMIN & GENERAL SERVICES
muti_base.res_company_bu000010id,hr_department_10000002id,BIOCIELO
muti_base.res_company_bu000010id,hr_department_10000001id,BRDC
muti_base.res_company_branch_10000001id,hr_department_10000009id,FINANCE
muti_base.res_company_branch_10000001id,hr_department_10000007id,MARKETING
muti_base.res_company_bu000010id,hr_department_10000003id,MONTECIELO
muti_base.res_company_branch_10000001id,hr_department_10000011id,OFFICE OF THE PRESIDENT
muti_base.res_company_branch_10000001id,hr_department_10000005id,OPERATIONS
muti_base.res_company_branch_10000001id,hr_department_10000008id,PARK MAINTENANCE & DEVELOPMENT
muti_base.res_company_branch_10000001id,hr_department_10000006id,SALES & MARKETING
muti_base.res_company_branch_14000006id,hr_department_14000001id,CARE
muti_base.res_company_bu000014id,hr_department_14000002id,CARE FOUNDATION II
muti_base.res_company_bu000014id,hr_department_14000005id,CFI - GENSAN
muti_base.res_company_bu000014id,hr_department_14000004id,CFI - ISULAN
muti_base.res_company_bu000014id,hr_department_14000006id,CFI - MAIN
muti_base.res_company_bu000014id,hr_department_14000003id,CFI-KORONADAL
muti_base.res_company_branch_cbg,hr_department_08000001id,CBG
muti_base.res_company_bu000002id,hr_department_02000004id,ACCOUNTING
muti_base.res_company_bu000002id,hr_department_02000001id,HUMAN RESOURCE
muti_base.res_company_bu000011id,hr_department_11000002id,ACCOUNTING
muti_base.res_company_bu000011id,hr_department_11000011id,AUDIT
muti_base.res_company_bu000011id,hr_department_11000015id,DIGOS
muti_base.res_company_bu000011id,hr_department_11000013id,EASCO
muti_base.res_company_bu000011id,hr_department_11000007id,FINANCE
muti_base.res_company_bu000011id,hr_department_11000016id,GENSAN I
muti_base.res_company_bu000011id,hr_department_11000017id,GENSAN II
muti_base.res_company_bu000011id,hr_department_11000006id,HUMAN RESOURCES
muti_base.res_company_bu000011id,hr_department_11000023id,ISULAN I
muti_base.res_company_bu000011id,hr_department_11000024id,ISULAN II
muti_base.res_company_bu000011id,hr_department_11000012id,KITCHEN
muti_base.res_company_bu000011id,hr_department_11000019id,KORONADAL I
muti_base.res_company_bu000011id,hr_department_11000020id,KORONADAL II
muti_base.res_company_bu000011id,hr_department_11000008id,LOGISTICS
muti_base.res_company_bu000011id,hr_department_11000001id,MAIN
muti_base.res_company_bu000011id,hr_department_11000026id,MANAGEMENT'S OFFICE
muti_base.res_company_bu000011id,hr_department_11000021id,MARBEL
muti_base.res_company_bu000011id,hr_department_11000010id,MIS
muti_base.res_company_bu000011id,hr_department_11000004id,OTHERS
muti_base.res_company_bu000011id,hr_department_11000005id,PARALEGAL
muti_base.res_company_bu000011id,hr_department_11000018id,POLOMOLOK
muti_base.res_company_bu000011id,hr_department_11000009id,PURCHASING
muti_base.res_company_bu000011id,hr_department_11000027id,REPAIRS & MAINTENANCE
muti_base.res_company_bu000011id,hr_department_11000003id,SECURITY PERSONNEL
muti_base.res_company_bu000011id,hr_department_11000022id,SURALLAH
muti_base.res_company_bu000011id,hr_department_11000025id,TACURONG
muti_base.res_company_bu000011id,hr_department_11000014id,TORIL
muti_base.res_company_branch_epfchomeoffice,hr_department_06000012id,ACCOUNTING
muti_base.res_company_branch_epfchomeoffice,hr_department_06000087id,ACCOUNTING (HSI)
muti_base.res_company_branch_epfchomeoffice,hr_department_06000094id,ACCOUNTING (MC)
muti_base.res_company_branch_epfchomeoffice,hr_department_06000089id,ACCOUNTING (NON MC)
muti_base.res_company_branch_epfchomeoffice,hr_department_06000069id,ACCOUNTING SERVICES
muti_base.res_company_branch_epfchomeoffice,hr_department_06000068id,ADMINISTRATION
muti_base.res_company_branch_epfchomeoffice,hr_department_06000103id,AFTER SALES
muti_base.res_company_bu000006id,hr_department_06000073id,AGDAO-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000013id,AUDIT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000014id,BIKE
muti_base.res_company_bu000006id,hr_department_06000074id,BUHANGIN
muti_base.res_company_bu000006id,hr_department_06000101id,BUHANGIN - M
muti_base.res_company_bu000006id,hr_department_06000083id,BUTUAN-M
muti_base.res_company_bu000006id,hr_department_06000076id,CAGAYAN DE ORO-M
muti_base.res_company_bu000006id,hr_department_06000080id,CALINAN-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000043id,CBG MANAGEMENT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000093id,COMPTROLLERSHIP
muti_base.res_company_branch_epfchomeoffice,hr_department_06000066id,CORPORATE PLANNING & MARKET RESEARCH DEVELOPMENT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000088id,CREDIT AND COLLECTION
muti_base.res_company_bu000006id,hr_department_06000002id,DIGOS
muti_base.res_company_bu000006id,hr_department_06000055id,DIGOS-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000017id,DOCUMENTATION & PROCESSING
muti_base.res_company_branch_epfchomeoffice,hr_department_06000016id,DRIVERS & DELIVERY
muti_base.res_company_bu000006id,hr_department_06000018id,EPFC COUNTER
muti_base.res_company_bu000006id,hr_department_06000067id,EPFC-MATI
muti_base.res_company_bu000006id,hr_department_06000070id,EPFC-PANABO
muti_base.res_company_bu000006id,hr_department_06000062id,EPFC-TAGUM
muti_base.res_company_branch_epfchomeoffice,hr_department_06000059id,EXECOM
muti_base.res_company_branch_epfchomeoffice,hr_department_06000104id,EXTERNAL ACCOUNTING
muti_base.res_company_branch_epfchomeoffice,hr_department_06000019id,FINANCE
muti_base.res_company_branch_epfchomeoffice,hr_department_06000039id,FINANCE SERVICES INVESTMENT & TREASURY
muti_base.res_company_bu000006id,hr_department_06000003id,GENSAN I
muti_base.res_company_bu000006id,hr_department_06000004id,GENSAN II
muti_base.res_company_branch_epfchomeoffice,hr_department_06000099id,HUMAN CAPITAL DEVELOPMENT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000097id,HUMAN CAPITAL MANAGEMENT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000020id,HUMAN RESOURCES
muti_base.res_company_bu000006id,hr_department_06000075id,ILIGAN-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000045id,INSURANCE
muti_base.res_company_branch_epfchomeoffice,hr_department_06000090id,INTERNAL CONTROL
muti_base.res_company_bu000006id,hr_department_06000010id,ISULAN I
muti_base.res_company_bu000006id,hr_department_06000040id,ISULAN II
muti_base.res_company_bu000006id,hr_department_06000057id,ISULAN-H
muti_base.res_company_bu000006id,hr_department_06000052id,ISULAN-M
muti_base.res_company_bu000006id,hr_department_06000058id,KIDAPAWAN-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000021id,KITCHEN
muti_base.res_company_bu000006id,hr_department_06000007id,KORONADAL I
muti_base.res_company_bu000006id,hr_department_06000006id,KORONADAL II
muti_base.res_company_bu000006id,hr_department_06000050id,KORONADAL-H
muti_base.res_company_bu000006id,hr_department_06000054id,KORONADAL-M
muti_base.res_company_bu000006id,hr_department_06000085id,LAPASAN CDO-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000042id,LEGAL
muti_base.res_company_branch_epfchomeoffice,hr_department_06000022id,LOGISTICS
muti_base.res_company_bu000006id,hr_department_06000072id,M'LANG-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000015id,MACHINE SHOP
muti_base.res_company_branch_epfchomeoffice,hr_department_06000008id,MAIN MECHANICS
muti_base.res_company_branch_epfchomeoffice,hr_department_06000023id,MAIN SECURITY GUARDS
muti_base.res_company_bu000006id,hr_department_06000077id,MALAYBALAY-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000032id,MANAGEMENT TEAM
muti_base.res_company_branch_epfchomeoffice,hr_department_06000031id,MANAGEMENTS' OFFICE
muti_base.res_company_bu000006id,hr_department_06000079id,MARAMAG-H
muti_base.res_company_bu000006id,hr_department_06000041id,MARBEL
muti_base.res_company_bu000006id,hr_department_06000049id,MARBEL-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000035id,MARKETING
muti_base.res_company_branch_epfchomeoffice,hr_department_06000100id,MARKETING ASSISTANT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000078id,MATERIALS MANAGEMENT
muti_base.res_company_bu000006id,hr_department_06000063id,MATI-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000025id,MC BODEGA
muti_base.res_company_branch_epfchomeoffice,hr_department_06000026id,MC COUNTER
muti_base.res_company_branch_epfchomeoffice,hr_department_06000030id,MIS
muti_base.res_company_branch_epfchomeoffice,hr_department_06000048id,MSG-ACCOUNTING (INTERNAL)
muti_base.res_company_branch_epfchomeoffice,hr_department_06000047id,MSG-ACCOUNTING (SERVICES)
muti_base.res_company_bu000006id,hr_department_06000084id,NABUNTURAN-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000098id,OFFICE OF THE CHIEF FINANCE OFFICER
muti_base.res_company_branch_epfchomeoffice,hr_department_06000044id,OFFICE OF THE PRESIDENT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000029id,OPERATIONS
muti_base.res_company_branch_epfchomeoffice,hr_department_06000060id,OPERATIONS GROUP
muti_base.res_company_bu000006id,hr_department_06000081id,OZAMIZ-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000027id,"PACIFIC UNION INSURERS, CORP."
muti_base.res_company_bu000006id,hr_department_06000082id,PAGADIAN-M
muti_base.res_company_bu000006id,hr_department_06000064id,PANABO-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000038id,PARALEGAL
muti_base.res_company_branch_epfchomeoffice,hr_department_06000095id,PAYROLL
muti_base.res_company_branch_epfchomeoffice,hr_department_06000096id,PAYROLL SERVICES
muti_base.res_company_bu000006id,hr_department_06000005id,POLOMOLOK
muti_base.res_company_bu000006id,hr_department_06000053id,POLOMOLOK-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000028id,PURCHASING
muti_base.res_company_branch_epfchomeoffice,hr_department_06000024id,RECON MECHANICS
muti_base.res_company_branch_epfchomeoffice,hr_department_06000036id,REPAIR & MAINTENANCE
muti_base.res_company_branch_epfchomeoffice,hr_department_06000046id,RESEARCH & DEVELOPMENT
muti_base.res_company_branch_epfchomeoffice,hr_department_06000037id,SALES & MARKETING
muti_base.res_company_bu000006id,hr_department_06000086id,SAN FRANCISCO-M
muti_base.res_company_branch_epfchomeoffice,hr_department_06000102id,SECURITY AND SAFETY
muti_base.res_company_branch_epfchomeoffice,hr_department_06000091id,SPECIAL PROJECT
muti_base.res_company_bu000006id,hr_department_06000009id,SURALLAH
muti_base.res_company_bu000006id,hr_department_06000056id,SURALLAH-H
muti_base.res_company_bu000006id,hr_department_06000092id,SURALLAH-M
muti_base.res_company_bu000006id,hr_department_06000011id,TACURONG
muti_base.res_company_bu000006id,hr_department_06000034id,TACURONG CONSTRUCTION
muti_base.res_company_bu000006id,hr_department_06000051id,TACURONG-M
muti_base.res_company_bu000006id,hr_department_06000065id,TAGUM-M
muti_base.res_company_bu000006id,hr_department_06000001id,TORIL
muti_base.res_company_branch_epfchomeoffice,hr_department_06000061id,TREASURY
muti_base.res_company_bu000006id,hr_department_06000071id,VALENCIA-M
muti_base.res_company_branch_07000001id,hr_department_07000007id,ADMIN & FINANCE
muti_base.res_company_bu000007id,hr_department_07000001id,HLRDC
muti_base.res_company_bu000007id,hr_department_07000004id,HLRDC-QUARRY
muti_base.res_company_branch_07000001id,hr_department_07000002id,MANAGEMENT TEAM
muti_base.res_company_branch_07000001id,hr_department_07000006id,OFFICE OF THE PRESIDENT
muti_base.res_company_branch_07000001id,hr_department_07000005id,OPERATIONS
muti_base.res_company_bu000007id,hr_department_07000003id,PHOENIX
muti_base.res_company_branch_07000001id,hr_department_07000008id,PLANNING & DESIGN
muti_base.res_company_branch_hondahomeoffice,hr_department_03000015id,FINANCE
muti_base.res_company_bu000003id,hr_department_03000014id,HSOC-MARAMAG
muti_base.res_company_bu000003id,hr_department_03000003id,ISULAN
muti_base.res_company_bu000003id,hr_department_03000011id,KORONADAL
muti_base.res_company_branch_hondahomeoffice,hr_department_03000008id,LOGISTICS
muti_base.res_company_bu000003id,hr_department_03000001id,MAIN
muti_base.res_company_branch_hondahomeoffice,hr_department_03000005id,MANAGEMENT TEAM
muti_base.res_company_bu000003id,hr_department_03000012id,MARAMAG
muti_base.res_company_bu000003id,hr_department_03000009id,MARBEL
muti_base.res_company_branch_hondahomeoffice,hr_department_03000018id,MARKETING SERVICES DEPARTMENT
muti_base.res_company_branch_hondahomeoffice,hr_department_03000004id,MC BODEGA
muti_base.res_company_bu000003id,hr_department_03000006id,MUTI TORIL
muti_base.res_company_branch_hondahomeoffice,hr_department_03000010id,OFFICE OF THE PRESIDENT
muti_base.res_company_branch_hondahomeoffice,hr_department_03000013id,OPERATIONS GROUP
muti_base.res_company_bu000003id,hr_department_03000016id,PARTS & SERVICES
muti_base.res_company_branch_hondahomeoffice,hr_department_03000007id,REPAIR & MAINTENANCE
